Name,Position,Age,Club,Height,Foot,Caps,Goals,MarketValue,Country,Height_m
Mario Mitaj,Left-Back,20,Lokomotiv Moscow,180,left,13,0,2000000,Albania,1.8
Naser Aliji,Left-Back,30,FC Voluntari,177,left,13,0,400000,Albania,1.77
Elseid Hysaj,Right-Back,30,SS Lazio,182,right,83,2,2500000,Albania,1.82
Iván Balliu,Right-Back,32,Rayo Vallecano,172,right,13,0,2000000,Albania,1.72
Kristjan Asllani,Defensive Midfield,22,Inter Milan,175,right,20,2,18000000,Albania,1.75
Ylber Ramadani,Defensive Midfield,28,US Lecce,185,right,35,1,4000000,Albania,1.85
Klaus Gjasula,Defensive Midfield,34,SV Darmstadt 98,190,both,28,0,400000,Albania,1.9
Amir Abrashi,Defensive Midfield,34,Grasshopper Club Zurich,172,right,50,1,200000,Albania,1.72
Qazim Laci,Central Midfield,28,AC Sparta Prague,173,right,27,3,2500000,Albania,1.73
Medon Berisha,Central Midfield,20,US Lecce,186,right,1,0,1000000,Albania,1.86
Ernest Muci,Attacking Midfield,23,Besiktas JK,180,both,10,3,13000000,Albania,1.8
Nedim Bajrami,Attacking Midfield,25,US Sassuolo,179,right,23,4,4500000,Albania,1.79
Arbër Hoxha,Left Winger,25,GNK Dinamo Zagreb,185,right,4,0,1800000,Albania,1.85
Jasir Asani,Right Winger,29,Gwangju FC,175,left,13,4,1000000,Albania,1.75
Armando Broja,Centre-Forward,22,Chelsea FC,191,right,21,5,22000000,Albania,1.91
Rey Manaj,Centre-Forward,27,Sivasspor,182,right,33,7,5000000,Albania,1.82
Taulant Seferi,Centre-Forward,27,FC Baniyas,184,right,19,3,3500000,Albania,1.84
Mirlind Daku,Centre-Forward,26,Rubin Kazan,192,right,5,1,3000000,Albania,1.92
Gianluigi Donnarumma,Goalkeeper,25,Paris Saint-Germain,196,right,61,0,40000000,Italy,1.96
Guglielmo Vicario,Goalkeeper,27,Tottenham Hotspur,194,right,2,0,35000000,Italy,1.94
Alex Meret,Goalkeeper,27,SSC Napoli,190,left,3,0,12000000,Italy,1.9
Alessandro Bastoni,Centre-Back,25,Inter Milan,190,left,23,1,70000000,Italy,1.9
Alessandro Buongiorno,Centre-Back,25,Torino FC,190,left,3,0,35000000,Italy,1.9
Riccardo Calafiori,Centre-Back,22,Bologna FC 1909,188,left,1,0,30000000,Italy,1.88
Gianluca Mancini,Centre-Back,28,AS Roma,190,right,13,0,25000000,Italy,1.9
Federico Gatti,Centre-Back,25,Juventus FC,190,right,3,0,18000000,Italy,1.9
Federico Dimarco,Left-Back,26,Inter Milan,175,left,18,2,50000000,Italy,1.75
Andrea Cambiaso,Left-Back,24,Juventus FC,182,both,3,0,25000000,Italy,1.82
Giovanni Di Lorenzo,Right-Back,30,SSC Napoli,183,right,35,3,15000000,Italy,1.83
Raoul Bellanova,Right-Back,24,Torino FC,188,right,1,0,15000000,Italy,1.88
Matteo Darmian,Right-Back,34,Inter Milan,183,right,42,2,4000000,Italy,1.83
Bryan Cristante,Defensive Midfield,29,AS Roma,186,right,39,2,20000000,Italy,1.86
Jorginho,Defensive Midfield,32,Arsenal FC,178,right,53,5,12000000,Italy,1.78
Nicolò Barella,Central Midfield,27,Inter Milan,175,right,53,9,80000000,Italy,1.75
Davide Frattesi,Central Midfield,24,Inter Milan,178,right,14,4,35000000,Italy,1.78
Nicolò Fagioli,Central Midfield,23,Juventus FC,178,right,2,0,15000000,Italy,1.78
Michael Folorunsho,Central Midfield,26,Hellas Verona,190,right,0,0,8500000,Italy,1.9
Lorenzo Pellegrini,Attacking Midfield,27,AS Roma,186,right,29,6,25000000,Italy,1.86
Federico Chiesa,Left Winger,26,Juventus FC,175,right,46,7,35000000,Italy,1.75
Mattia Zaccagni,Left Winger,28,SS Lazio,177,right,5,0,20000000,Italy,1.77
Stephan El Shaarawy,Left Winger,31,AS Roma,178,right,31,7,5000000,Italy,1.78
Giacomo Raspadori,Second Striker,24,SSC Napoli,172,right,27,6,25000000,Italy,1.72
Gianluca Scamacca,Centre-Forward,25,Atalanta BC,195,right,15,1,35000000,Italy,1.95
Mateo Retegui,Centre-Forward,25,Genoa CFC,186,right,7,4,16000000,Italy,1.86
Jan Oblak,Goalkeeper,31,Atlético de Madrid,188,right,64,0,28000000,Slovenia,1.88
Vid Belec,Goalkeeper,34,APOEL Nicosia,192,right,21,0,500000,Slovenia,1.92
Igor Vekic,Goalkeeper,26,Vejle Boldklub,192,right,1,0,300000,Slovenia,1.92
Jaka Bijol,Centre-Back,25,Udinese Calcio,190,right,48,1,10000000,Slovenia,1.9
David Brekalo,Centre-Back,25,Orlando City SC,188,right,12,1,3500000,Slovenia,1.88
Vanja Drkusic,Centre-Back,24,FC Sochi,188,right,7,0,2800000,Slovenia,1.88
Zan Zaletel,Centre-Back,24,Viborg FF,185,right,2,0,1200000,Slovenia,1.85
Jure Balkovec,Left-Back,29,Alanyaspor,185,left,32,0,1200000,Slovenia,1.85
Erik Janza,Left-Back,30,Górnik Zabrze,175,left,9,2,600000,Slovenia,1.75
Petar Stojanović,Right-Back,28,UC Sampdoria,178,right,52,3,1300000,Slovenia,1.78
Zan Karnicnik,Right-Back,29,NK Celje,184,right,27,1,1000000,Slovenia,1.84
Jon Gorenc Stankovic,Defensive Midfield,28,SK Sturm Graz,190,right,23,1,4500000,Slovenia,1.9
Adrian Zeljkovic,Defensive Midfield,21,Spartak Trnava,192,right,1,0,2000000,Slovenia,1.92
Sandi Lovric,Central Midfield,26,Udinese Calcio,180,right,34,4,8000000,Slovenia,1.8
